"","species","brood_year","run","release_location_code","hatchery_location_code","first_release_date_month","jday","avg_weight","release_stage_assigned","event_released","number_cwt_estimated","sar","tags_lost"
"64","1",2002,"1","3F42001^^260002^R","3F42001^^260002^H02",3,89,60,"smolt",126550,747.42,0.00590612406163572,125802.58
"65","1",2004,"1","3F42001^^260002^R","3F42001^^260002^H02",4,93,60,"smolt",124834,374.72,0.00300174631911178,124459.28
"66","1",2003,"1","3F42001^^260002^R","3F42001^^260002^H02",4,94,60,"smolt",22211,22.42,0.00100940975192472,22188.58
"67","1",2001,"1","3F42001^^260002^R","3F42001^^260002^H02",4,91,70,"smolt",23710,235.79,0.00994474905103332,23474.21
"68","1",2013,"1","3F42001^^260002^R","3F42001^^260002^H02",2,35,80,"smolt",95258,656.69,0.00689380419492326,94601.31
"69","1",2020,"1","3F42001^^260002^R","3F42001^^260002^H02",2,38,80,"smolt",22109,174.1,0.00787462119498847,21934.9
"70","1",2001,"1","3F42001^^260002^R","3F42001^^260002^H02",3,62,80,"smolt",45593,362.72,0.00795560722040664,45230.28
"71","1",2002,"1","3F42001^^260002^R","3F42001^^260002^H02",3,89,80,"smolt",51354,502.2,0.00977917981072555,50851.8
"72","1",2001,"1","3F42001^^260002^R","3F42001^^260002^H02",4,91,80,"smolt",47936,298.89,0.00623518858477971,47637.11
"73","1",2004,"1","3F42001^^260002^R","3F42001^^260002^H02",4,93,80,"smolt",49644,254.74,0.0051313351059544,49389.26
"74","1",2003,"1","3F42001^^260002^R","3F42001^^260002^H02",4,94,80,"smolt",113426,445.96,0.00393172641193377,112980.04
"75","1",2018,"1","3F42001^^260002^R","3F42001^^260002^H02",11,308,80,"smolt",144376,349.44,0.0024203468720563,144026.56
"76","1",2015,"1","3F42001^^260002^R","3F42001^^260002^H02",3,60,90,"smolt",96220,59.6,0.000619413843275826,96160.4
"77","1",2016,"1","3F42001^^260002^R","3F42001^^260002^H02",3,60,90,"smolt",94058,28.58,0.00030385506814944,94029.42
"78","1",2017,"1","3F42001^^260002^R","3F42001^^260002^H02",3,60,90,"smolt",99015,377.39,0.0038114427107004,98637.61
"79","1",2000,"1","3F42001^^260002^R","3F42001^^260002^H02",3,63,90,"smolt",47029,644.07,0.0136951668119671,46384.93
"80","1",2014,"1","3F42001^^260002^R","3F42001^^260002^H02",3,70,90,"smolt",96491,194.59,0.00201666476666218,96296.41
"81","1",2019,"1","3F42001^^260002^R","3F42001^^260002^H02",3,74,90,"smolt",95824,1253.33,0.0130794999165136,94570.67
"82","1",2005,"1","3F42001^^260002^R","3F42001^^260002^H02",3,79,90,"smolt",105754,442.33,0.00418263138982923,105311.67
"83","1",2010,"1","3F42001^^260002^R","3F42001^^260002^H02",3,86,90,"smolt",83600,249.27,0.0029816985645933,83350.73
"84","1",2012,"1","3F42001^^260002^R","3F42001^^260002^H02",3,87,90,"smolt",95994,1153.62,0.0120176261016314,94840.38
"85","1",2011,"1","3F42001^^260002^R","3F42001^^260002^H02",3,88,90,"smolt",100958,1509.69,0.0149536440896214,99448.31
"86","1",2002,"1","3F42001^^260002^R","3F42001^^260002^H02",3,89,90,"smolt",77835,615.84,0.00791212179610715,77219.16
"87","1",2004,"1","3F42001^^260002^R","3F42001^^260002^H02",4,93,90,"smolt",74354,318.82,0.00428786615380477,74035.18
"88","1",2020,"1","3F42001^^260002^R","3F42001^^260002^H02",4,101,90,"smolt",576855,6373.32,0.0110483917102218,570481.68
"89","1",2021,"1","3F42001^^260002^R","3F42001^^260002^H02",4,104,90,"smolt",99301,1107.37,0.0111516500337358,98193.63
"90","1",2000,"1","3F42001^^260002^R","3F42001^^260002^H02",3,63,100,"smolt",94711,1325.62,0.0139964734824888,93385.38
"91","1",2009,"1","3F42001^^260002^R","3F42001^^260002^H02",3,84,100,"smolt",98756,272.19,0.00275618696585524,98483.81
"92","1",2006,"1","3F42001^^260002^R","3F42001^^260002^H02",3,85,100,"smolt",86441,798.91,0.0092422577249222,85642.09
"93","1",2000,"1","3F42001^^260002^R","3F42001^^260002^H02",3,63,110,"smolt",94026,1146.99,0.0121986471826941,92879.01
"94","1",2008,"1","3F42001^^260002^R","3F42001^^260002^H02",3,88,120,"smolt",94965,605.44,0.00637540146369715,94359.56
