"species","run","location_code","loc_col","name","region"
"2","7","3F21902^^240356^H","hatchery_location_code","FORKS CREEK HATCHERY",6
"1","1","3F21902^^240356^H","hatchery_location_code","FORKS CREEK HATCHERY",6
"1","3","3F21902^^240460^H","hatchery_location_code","NEMAH HATCHERY",6
"3","4","3F21902^^240460^H","hatchery_location_code","NEMAH HATCHERY",6
"1","3","3F21902^^240543^H","hatchery_location_code","NASELLE HATCHERY",6
"3","4","3F21902^^240543^H","hatchery_location_code","NASELLE HATCHERY",6
"2","7","3F21902^^240543^H","hatchery_location_code","NASELLE HATCHERY",6
"2","3","3F21902^^240543^H","hatchery_location_code","NASELLE HATCHERY",6
"1","1","3F10412^^160001^H","hatchery_location_code","NF SKOKOMISH HATCHERY",6
"2","3","3F10412^^160001^H","hatchery_location_code","NF SKOKOMISH HATCHERY",6
"3","4","3F10412^^160001^H","hatchery_location_code","NF SKOKOMISH HATCHERY",6
"1","3","3F10511^^100432^H","hatchery_location_code","WILKESON CREEK HATCHERY",6
"5","3","3F10511^^100029^H01","hatchery_location_code","DIRU CREEK HATCHERY",6
