"","species","brood_year","run","release_location_code","hatchery_location_code","first_release_date_month","jday","avg_weight","release_stage_assigned","event_released","number_cwt_estimated","sar","tags_lost"
"58","1",2015,"1","3F42001^^260002^R","3F42001^^260002^H02",3,60,60,"smolt",99491,20.07,0.000201726789357831,99470.93
"59","1",2016,"1","3F42001^^260002^R","3F42001^^260002^H02",3,60,60,"smolt",96189,5.12,5.32285396459055e-05,96183.88
"60","1",2014,"1","3F42001^^260002^R","3F42001^^260002^H02",3,61,60,"smolt",773512,132.15,0.000170844149799874,773379.85
"61","1",2019,"1","3F42001^^260002^R","3F42001^^260002^H02",3,62,60,"smolt",2096388,1031.14,0.000491865055514533,2095356.86
"62","1",2000,"1","3F42001^^260002^R","3F42001^^260002^H02",3,63,60,"smolt",9108813,2947.34,0.000323570151237049,9105865.66
"63","1",2012,"1","3F42001^^260002^R","3F42001^^260002^H02",3,78,60,"smolt",5411615,1348.67,0.000249217654988391,5410266.33
"64","1",2021,"1","3F42001^^260002^R","3F42001^^260002^H02",3,79,60,"smolt",690986,665.63,0.000963304611091976,690320.37
"65","1",2002,"1","3F42001^^260002^R","3F42001^^260002^H02",3,89,60,"smolt",1341356,858.79,0.00064024017486782,1340497.21
"66","1",2004,"1","3F42001^^260002^R","3F42001^^260002^H02",4,93,60,"smolt",948691,516.14,0.000544054913559842,948174.86
"67","1",2003,"1","3F42001^^260002^R","3F42001^^260002^H02",4,94,60,"smolt",88844,32.12,0.000361532573949845,88811.88
"68","1",2001,"1","3F42001^^260002^R","3F42001^^260002^H02",4,91,70,"smolt",474200,332.77,0.000701750316322227,473867.23
"69","1",2013,"1","3F42001^^260002^R","3F42001^^260002^H02",2,35,80,"smolt",3619804,1179.58,0.000325868472436629,3618624.42
"70","1",2020,"1","3F42001^^260002^R","3F42001^^260002^H02",2,38,80,"smolt",132654,164.53,0.00124029429945573,132489.47
"71","1",2001,"1","3F42001^^260002^R","3F42001^^260002^H02",3,62,80,"smolt",1119783,646.19,0.000577067163905864,1119136.81
"72","1",2002,"1","3F42001^^260002^R","3F42001^^260002^H02",3,89,80,"smolt",873018,510.44,0.000584684393678023,872507.56
"73","1",2007,"1","3F42001^^260002^R","3F42001^^260002^H02",3,89,80,"smolt",1964952,325.64,0.000165724150004682,1964626.36
"74","1",2001,"1","3F42001^^260002^R","3F42001^^260002^H02",4,91,80,"smolt",910570,559.06,0.000613967075568051,910010.94
"75","1",2004,"1","3F42001^^260002^R","3F42001^^260002^H02",4,93,80,"smolt",670215,288.14,0.000429921741530703,669926.86
"76","1",2003,"1","3F42001^^260002^R","3F42001^^260002^H02",4,94,80,"smolt",1032334,556.82,0.000539379696881048,1031777.18
"77","1",2018,"1","3F42001^^260002^R","3F42001^^260002^H02",11,308,80,"smolt",3031896,431.71,0.0001423894487146,3031464.29
"78","1",2015,"1","3F42001^^260002^R","3F42001^^260002^H02",3,60,90,"smolt",481100,61.35,0.000127520266056953,481038.65
"79","1",2016,"1","3F42001^^260002^R","3F42001^^260002^H02",3,60,90,"smolt",94058,28.58,0.00030385506814944,94029.42
"80","1",2017,"1","3F42001^^260002^R","3F42001^^260002^H02",3,60,90,"smolt",1584240,329.97,0.000208282835933949,1583910.03
"81","1",2000,"1","3F42001^^260002^R","3F42001^^260002^H02",3,63,90,"smolt",2962827,1434.16,0.000484051211899986,2961392.84
"82","1",2014,"1","3F42001^^260002^R","3F42001^^260002^H02",3,70,90,"smolt",1061401,274.08,0.000258224742580796,1061126.92
"83","1",2019,"1","3F42001^^260002^R","3F42001^^260002^H02",3,74,90,"smolt",1245712,1454.86,0.00116789434476027,1244257.14
"84","1",2005,"1","3F42001^^260002^R","3F42001^^260002^H02",3,79,90,"smolt",3489882,649.94,0.000186235523149493,3489232.06
"85","1",2010,"1","3F42001^^260002^R","3F42001^^260002^H02",3,86,90,"smolt",3344000,568.3,0.000169946172248804,3343431.7
"86","1",2012,"1","3F42001^^260002^R","3F42001^^260002^H02",3,87,90,"smolt",6239610,1857.72,0.000297730146595701,6237752.28
"87","1",2011,"1","3F42001^^260002^R","3F42001^^260002^H02",3,88,90,"smolt",6163244,2359.09,0.000382767581487931,6160884.91
"88","1",2002,"1","3F42001^^260002^R","3F42001^^260002^H02",3,89,90,"smolt",1205163,631.16,0.000523713389807022,1204531.84
"89","1",2004,"1","3F42001^^260002^R","3F42001^^260002^H02",4,93,90,"smolt",743196,362.22,0.000487381525196583,742833.78
"90","1",2020,"1","3F42001^^260002^R","3F42001^^260002^H02",4,101,90,"smolt",5839159,4442.33,0.000760782503096764,5834716.67
"91","1",2021,"1","3F42001^^260002^R","3F42001^^260002^H02",4,104,90,"smolt",1340316,1041.38,0.000776966028906616,1339274.62
"92","1",2000,"1","3F42001^^260002^R","3F42001^^260002^H02",3,63,100,"smolt",4966700,2703.05,0.000544234602452333,4963996.95
"93","1",2009,"1","3F42001^^260002^R","3F42001^^260002^H02",3,84,100,"smolt",4641532,803.51,0.000173113101450125,4640728.49
"94","1",2006,"1","3F42001^^260002^R","3F42001^^260002^H02",3,85,100,"smolt",4149168,1231.17,0.000296726958272116,4147936.83
"95","1",2000,"1","3F42001^^260002^R","3F42001^^260002^H02",3,63,110,"smolt",4836831,2130.43,0.000440459879619528,4834700.57
"96","1",2008,"1","3F42001^^260002^R","3F42001^^260002^H02",3,88,120,"smolt",4463355,1038.36,0.000232641141025081,4462316.64
